gbifID,type,format,URL,references,license,group,Common Name,Scientific Name
1572324720,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_02_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_2_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1572324719,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_04_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_4_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1572324718,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_07_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_7_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1572324717,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_06_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_6_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1572324716,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_01_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_1_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1572324715,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_05_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_5_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1572324714,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Crex_crex_DIG0196_03_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Crex_crex_DIG_196_3_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Corn Crake,Crex crex
1571202165,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Phylloscopus_ibericus_DIG0195_06_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Phylloscopus_ibericus_DIG_195_6_0&autologin=true,http://creativecommons.org/licenses/by-nc-sa/4.0/,Aves,Iberian Chiffcharr,Phylloscopus ibericus
1571067681,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Mülleripicus_pulverulentus_Lue0074_01_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Muelleripicus_pulverulentus_Lue_74_1_1&autologin=true,http://creativecommons.org/licenses/by-sa/4.0/,Aves,Great Slaty Woodpecker,Mülleripicus pulverulentus
1571067680,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Mülleripicus_pulverulentus_Lue0074_02_short.mp3,http://www.tierstimmenarchiv.de/webinterface/contents/showdetails.php?edit=-1&unique_id=TSA:Muelleripicus_pulverulentus_Lue_74_2_1&autologin=true,http://creativecommons.org/licenses/by-sa/4.0/,Aves,Great Slaty Woodpecker,Mülleripicus pulverulentus
